genre,model_type,train_samples,validation_samples,mae,rmse,mape_percent,wape_percent,r_squared,actual_total_revenue,predicted_total_revenue,revenue_bias_percent,validation_start,validation_end
Action,global_ridge_calibrated,1168,25,178238694.44,269311649.32,56.97,53.04,0.3876,8400584097.0,5592013994.71,-33.43,2017-01-12,2017-07-26
Drama,global_ridge_calibrated,1907,23,27500006.89,64118876.87,199279.58,60.92,0.6124,1038320727.0,814107209.27,-21.59,2017-01-03,2017-07-11
Comedy,global_ridge_calibrated,1557,11,26385883.31,46797559.08,2792.12,74.23,0.2824,390984363.0,310071016.53,-20.69,2017-01-19,2017-07-28
Mystery,global_ridge_calibrated,84,7,78277273.84,117815904.13,4884.18,100.55,-0.1203,544946463.0,236315095.82,-56.64,2017-01-19,2017-05-25
Adventure,global_ridge_calibrated,468,6,95696030.85,117150130.44,5321.79,52.24,0.8272,1099185641.0,1086397349.52,-1.16,2017-02-01,2017-07-20
Horror,global_ridge_calibrated,397,6,27334822.8,30939847.27,15490.74,36.75,0.851,446301047.0,407302269.82,-8.74,2017-01-12,2017-05-09
Romance,global_ridge_calibrated,173,3,68029832.55,71497423.36,13327.62,750.11,-126.4357,27207833.0,231297330.65,750.11,2017-01-26,2017-04-06
Thriller,global_ridge_calibrated,256,3,100400558.46,122613797.3,236.94,51.62,0.4515,583537436.0,334338046.71,-42.7,2017-02-08,2017-06-16
Crime,global_ridge_calibrated,331,2,36776885.97,39599312.59,57.08,58.36,-2.3601,126031250.0,52477478.07,-58.36,2017-01-27,2017-04-06
Documentary,global_ridge_calibrated,186,2,5575965.68,5577828.79,4396.22,2367.08,-1238.8856,471126.0,11623057.35,2367.08,2017-02-23,2017-04-14
Family,global_ridge_calibrated,77,2,344301609.37,349170693.65,68.79,42.69,0.4146,1613056394.0,1729273003.62,7.2,2017-03-16,2017-06-15
War,global_ridge_calibrated,48,2,13257573.82,13957031.65,1670.0,477.13,-38.4767,5557241.0,32072388.65,477.13,2017-02-23,2017-03-10
Animation,global_ridge_calibrated,187,1,99383972.47,99383972.47,19.92,19.92,0.0,498814908.0,399430935.53,-19.92,2017-03-23,2017-03-23
